Mz(t) Volts l,t sec l,Mz(t) Volts h,t sec h
1.18,0.0006,1.0050,0.0001
1.17,0.0007,0.9950,0.0002
1.16,0.0008,0.9850,0.0003
1.16,0.0009,0.9750,0.0004
1.15,0.001,0.9650,0.0005
1.14,0.0012,0.9550,0.0006
1.13,0.0014,0.9450,0.0007
1.12,0.0016,0.9350,0.0008
1.11,0.0018,0.9250,0.0009
1.1,0.002,0.9200,0.001
1.08,0.0025,0.9100,0.0012
1.06,0.003,0.8950,0.0014
1.04,0.0035,0.8850,0.0016
1.02,0.004,0.8600,0.0018
1,0.0045,0.8500,0.002
0.98,0.005,0.8150,0.0025
0.96,0.0055,0.7800,0.003
0.94,0.006,0.7500,0.0035
0.92,0.0065,0.7200,0.004
0.9,0.007,0.6900,0.0045
0.885,0.0075,0.6550,0.005
0.87,0.008,0.6250,0.0055
0.85,0.0085,0.5950,0.006
0.83,0.009,0.5700,0.0065
0.81,0.0095,0.5400,0.007
0.79,0.01,0.5100,0.0075
0.76,0.011,0.4800,0.008
0.73,0.012,0.4600,0.0085
0.695,0.013,0.4300,0.009
0.66,0.014,0.4100,0.0095
0.63,0.015,0.3850,0.01
0.603,0.016,0.3600,0.0105
0.57,0.017,0.3350,0.011
0.541,0.018,0.3150,0.0115
0.511,0.019,0.2900,0.012
0.484,0.02,0.2700,0.0125
0.456,0.021,0.2500,0.013
0.43,0.022,0.2250,0.0135
0.403,0.023,0.2050,0.014
0.377,0.024,0.1850,0.0145
0.353,0.025,0.1630,0.015
0.33,0.026,0.1440,0.0155
0.305,0.027,0.1230,0.016
0.285,0.028,0.1030,0.0165
0.257,0.029,0.0840,0.017
0.234,0.03,0.0640,0.0175
0.21,0.031,0.0460,0.018
0.187,0.032,0.0270,0.0185
0.165,0.033,0.0160,0.019
0.143,0.034,0.0100,0.0195
0.122,0.035
0.104,0.036
0.082,0.037
0.061,0.038
0.04,0.039
0.021,0.04
0.006,0.041
